,num_Gross_Indicated_Thermal_Efficiency
cat_Gross_Indicated_Thermal_Efficiency,1.0
num_Gross_Indicated_Thermal_Efficiency,1.0
num_Engine_Load_Percent,0.9037165606158498
cat_Engine_Load_Percent,0.9037165606158498
cat_Target_Score,0.36638624084345894
num_Target_Score,0.36638624084345894
cat_Intake_Temperature,0.045238448991527465
num_Intake_Temperature,0.04523844899152739
cat_NOx_Emissions,0.023471997022408535
num_NOx_Emissions,0.023471997022408486
num_Fuel_Injection_Pressure,0.02180765662508949
cat_Fuel_Injection_Pressure,0.02180765662508946
cat_Diesel_Energy_Share,0.010615541947214004
num_Diesel_Energy_Share,0.010615541947213916
num_Equivalence_Ratio,0.005597378574587222
cat_Equivalence_Ratio,0.005597378574587211
cat_Soot_Emissions,-0.0056895881770412035
num_Soot_Emissions,-0.0056895881770412165
num_Cylinder_Pressure_Peak,-0.007611152360156032
cat_Cylinder_Pressure_Peak,-0.007611152360156083
num_CO_Emissions,-0.009468064950518705
cat_CO_Emissions,-0.009468064950518752
num_Gasoline_Energy_Share,-0.010615541947213921
cat_Gasoline_Energy_Share,-0.010615541947214
cat_Combustion_Stability_Index,-0.01443204756417861
num_Combustion_Stability_Index,-0.01443204756417861
num_Boost_Pressure,-0.024010595901498708
cat_Boost_Pressure,-0.024010595901498722
num_Combustion_Duration,-0.03125947332032482
cat_Combustion_Duration,-0.03125947332032484
num_Injection_Timing,-0.05057755506701769
cat_Injection_Timing,-0.050577555067017735
cat_EGR_Rate,-0.058574598210196095
num_EGR_Rate,-0.05857459821019615
cat_BSFC,-0.7245480709369879
num_BSFC,-0.7245480709369883
