,0
cat_Gross_Indicated_Thermal_Efficiency,0.9995796754162577
num_Cylinder_Pressure_Peak,0.00013157671346572574
cat_Cylinder_Pressure_Peak,0.00012974584463623285
cat_BSFC,2.2096079066679897e-05
num_EGR_Rate,1.161261951117887e-05
cat_Soot_Emissions,9.27827283027506e-06
num_Soot_Emissions,9.14586128493056e-06
num_Target_Score,8.572789217135272e-06
num_BSFC,8.292487182582841e-06
cat_Target_Score,8.074399929987636e-06
cat_Boost_Pressure,4.966004834743418e-06
num_CO_Emissions,4.875604181099308e-06
cat_Diesel_Energy_Share,4.588711995000223e-06
num_Gasoline_Energy_Share,4.441465493912255e-06
cat_CO_Emissions,4.091180382739197e-06
cat_Combustion_Stability_Index,3.975001531994477e-06
num_Boost_Pressure,3.8120904810436044e-06
num_Injection_Timing,3.7586546129771688e-06
num_Intake_Temperature,3.7292397700508972e-06
num_Equivalence_Ratio,3.6011151192123397e-06
cat_Intake_Temperature,3.4836915623995224e-06
num_Combustion_Stability_Index,3.4249042012659085e-06
cat_Equivalence_Ratio,3.3118459001231423e-06
cat_Fuel_Injection_Pressure,3.229039489662023e-06
cat_Injection_Timing,3.1491801764313053e-06
num_Fuel_Injection_Pressure,2.799779860906582e-06
cat_EGR_Rate,2.7632218248608273e-06
cat_NOx_Emissions,2.71488637170906e-06
cat_Combustion_Duration,2.7021444601022397e-06
cat_Gasoline_Energy_Share,2.5420275488256377e-06
