,fuel_injection_pressure
fuel_injection_pressure,1.0
nox_emissions,0.991723037668846
combustion_duration,0.05821601584553669
co_emissions,0.025263420825174493
gross_indicated_thermal_efficiency,0.021807656625089104
gasoline_energy_share,0.0201337291522316
engine_load_percent,0.018185544302375095
cylinder_pressure_peak,0.010835143538081645
equivalence_ratio,0.0013356556987757164
intake_temperature,-0.0022895394471671537
boost_pressure,-0.006453641849754986
diesel_energy_share,-0.020133729152231553
soot_emissions,-0.020343702916693397
bsfc,-0.025814587291064194
injection_timing,-0.03548127948696694
egr_rate,-0.03967149260345093
combustion_stability_index,-0.04769734935050256
target_score,-0.3785567088307592
